,id,start_dt,value,business__id,business__name,business__status,business__city,business__neighborhood,business__country,business__lat,business__lng,business__price,score,business__cuisines
0,163595080,2022-10-18T02:26:27.236864Z,21,384,4 Charles Prime Rib,OPERATIONAL,New York,West Village,United States,40.7351675,-74.0006537,3.0,10.0,"['American', 'Burgers', 'Steakhouse']"
1,163595081,2022-10-29T19:29:43.905341Z,22,53672,SAGA,OPERATIONAL,New York,Financial District,United States,40.70650469999999,-74.00777149999999,4.0,9.99590570719603,['Global']
2,163595082,2022-10-24T03:38:52.486582Z,23,97300,Le Bernardin,,New York,Theater District,United States,40.7615691,-73.98180479999999,,9.99181141439206,['French']
3,163595083,2022-10-10T15:16:12.937657Z,29,83,Peter Luger Steak House,OPERATIONAL,New York,Southside,United States,40.7098774,-73.9625052,4.0,9.987717121588089,"['American', 'Steakhouse']"
4,163595084,2022-10-27T00:48:22.615798Z,30,196,Don Angie,OPERATIONAL,New York,West Village,United States,40.7378037,-74.00209389999999,3.0,9.983622828784119,['Italian']
5,163595085,2022-10-04T00:49:08.258431Z,31,108120,The Mad Hatter Restaurant,,Sanibel,,United States,26.4809618,-82.18100129999999,3.0,9.97952853598015,[]
6,163595086,2022-10-02T20:16:23.678336Z,39,954,Vetri Cucina,OPERATIONAL,Philadelphia,Washington Square West,,39.94672,-75.16317,4.0,9.975434243176178,"['American', 'Italian']"
7,163595087,2022-09-12T22:17:04.024650Z,46,12014,Bern's Steak House,,Tampa,Historic Hyde Park North,,27.9316,-82.48285,4.0,9.971339950372208,"['American', 'Dessert', 'Steakhouse']"
8,163595088,2022-10-02T20:43:49.644756Z,49,26,Misi,OPERATIONAL,New York,Williamsburg,United States,40.713401,-73.9671874,3.0,9.967245657568238,['Italian']
9,163595089,2022-10-02T20:40:53.097106Z,76,320,The Daily Catch Restaurant,OPERATIONAL,Boston,North End,,42.3641,-71.05398,2.0,9.963151364764268,"['Italian', 'Seafood']"
10,163595090,2022-11-01T02:08:18.817547Z,77,81,I Sodi,OPERATIONAL,New York,West Village,United States,40.7334439,-74.00499479999999,3.0,9.959057071960299,['Italian']
11,163595091,2022-11-01T02:05:15.428687Z,78,200,L'Artusi,OPERATIONAL,New York,West Village,United States,40.7337833,-74.00513959999999,3.0,9.954962779156327,['Italian']
12,163595092,2022-10-27T00:47:50.336488Z,81,34,Marea,OPERATIONAL,New York,Midtown West,United States,40.7673878,-73.98112420000001,4.0,9.950868486352357,"['Italian', 'Seafood']"
13,163595093,2022-10-09T21:33:34.259791Z,85,48,Oxomoco,OPERATIONAL,New York,Greenpoint,United States,40.7298214,-73.95547599999999,3.0,9.946774193548388,['Mexican']
14,163595094,2022-09-23T12:05:05.894105Z,98,4604,The Four Horsemen,OPERATIONAL,New York,Williamsburg,United States,40.7130584,-73.9573216,3.0,9.942679900744416,['American']
15,163595095,2022-09-14T01:57:43.724964Z,300,1324,Vernick Food & Drink,,Philadelphia,Center City West,,39.95086,-75.17489,3.0,9.938585607940446,"['American', 'French']"
16,163595096,2022-10-13T11:25:27.709754Z,309,17553,Barclay Prime,,Philadelphia,Rittenhouse Square,,39.9484864,-75.1707607,4.0,9.934491315136476,['Steakhouse']
17,163595097,2022-11-01T01:45:12.574907Z,310,109,Raoul's,OPERATIONAL,New York,South Village,United States,40.7261816,-74.0021307,3.0,9.930397022332507,"['Bistro', 'French']"
18,163595098,2022-10-27T01:07:23.845794Z,311,1089,Au Cheval,OPERATIONAL,New York,Lower Manhattan,United States,40.7181159,-74.0019617,3.0,9.926302729528537,"['American', 'Diner']"
19,163595099,2022-10-10T16:36:29.676039Z,314,14,Lilia,OPERATIONAL,New York,Williamsburg,United States,40.7175365,-73.9524225,3.0,9.922208436724565,['Italian']
20,163595100,2022-09-23T12:44:09.308918Z,327,5,Via Carota,OPERATIONAL,New York,West Village,United States,40.73314369999999,-74.0036671,3.0,9.918114143920596,['Italian']
21,163595101,2022-10-27T01:14:17.391993Z,330,8628,Fiorella Pasta,,Philadelphia,Bella Vista,,39.93887,-75.15692,1.0,9.914019851116626,['Italian']
22,163595102,2022-10-27T01:18:50.012126Z,331,22995,Pelican & Pig,,Nashville,Greenwood,,36.18918479999999,-86.7462619,,9.909925558312654,['American']
23,163595103,2022-10-27T02:41:22.799157Z,332,8622,Laser Wolf,,Philadelphia,Olde Kensington,,39.97061,-75.13655,2.0,9.905831265508684,"['Israeli', 'Middle Eastern']"
24,163595104,2022-09-12T22:22:07.742903Z,333,20977,Chubby Fish,,Charleston,Cannonborough Elliotborough,United States,32.7931701,-79.9442545,,9.901736972704715,['Seafood']
25,163595105,2022-09-12T04:59:15.451944Z,521,11565,Angelo's Pizzeria,,Philadelphia,Bella Vista,United States,39.940654,-75.1576535,,9.897642679900745,['Pizza']
26,163595106,2022-09-14T01:53:03.695794Z,532,901,Joe's Stone Crab,OPERATIONAL,Miami Beach,South Beach,,25.76916,-80.13515,3.0,9.893548387096775,"['American', 'Seafood']"
27,163595107,2022-10-07T09:53:01.761701Z,548,4173,Thai Diner,OPERATIONAL,New York,Nolita,United States,40.7206929,-73.9956057,2.0,9.889454094292804,['Thai']
28,163595108,2022-10-27T01:09:27.126061Z,552,59411,The Salt House,,New Hope,Prallsville,,40.36312229999999,-74.9508338,2.0,9.885359801488834,['Gastropub']
29,163595109,2022-10-24T00:52:21.770057Z,585,53,Minetta Tavern,OPERATIONAL,New York,South Village,United States,40.7299881,-74.0007016,3.0,9.881265508684864,"['American', 'Burgers', 'Steakhouse']"
30,163595110,2022-10-27T01:45:37.633128Z,587,22,Carbone,OPERATIONAL,New York,South Village,United States,40.72798950000001,-74.00021819999999,3.0,9.877171215880892,['Italian']
31,163595111,2022-10-27T01:46:36.206444Z,588,69642,Murph's Bar,,Philadelphia,Fishtown,United States,39.96894439999999,-75.1334333,2.0,9.873076923076923,"['Bar', 'Irish', 'Italian']"
32,163595112,2022-10-27T01:47:50.034468Z,589,920,Zahav,OPERATIONAL,Philadelphia,Society Hill,,39.94622,-75.14527,3.0,9.868982630272953,['Israeli']
33,163595113,2022-10-27T01:44:18.687565Z,590,3187,Prince's Hot Chicken Shack South,,Nashville,Townhomes of Shadow Glen,,36.04386,-86.71225,1.0,9.864888337468983,"['American', 'Southern']"
34,163595114,2022-10-27T01:44:37.996457Z,591,20946,Joe's Steaks + Soda Shop,,Philadelphia,Wissinoming,,40.01851300000001,-75.058137,1.0,9.860794044665013,[]
35,163595115,2022-10-27T01:47:12.022111Z,592,1328,Suraya Restaurant,,Philadelphia,North Philadelphia,,39.9737,-75.13394,2.0,9.856699751861042,"['Lebanese', 'Middle Eastern']"
36,163595116,2022-10-27T01:44:48.518965Z,593,8356,Dalessandro's Steaks,,Philadelphia,,,40.0295,-75.20598,1.0,9.852605459057072,['Sandwiches']
37,163595117,2022-10-27T01:48:33.580822Z,594,1756,Emily,OPERATIONAL,New York,Clinton Hill,United States,40.6835694,-73.9664327,2.0,9.848511166253102,"['Burgers', 'Pizza']"
38,163595118,2022-10-27T01:38:20.839002Z,595,21700,Arnold’s Lobster & Clam Bar,,Eastham,North Eastham,,41.8437838,-69.9826952,2.0,9.84441687344913,"['Ice Cream', 'Seafood']"
